HHID,year,y3_panelweight,psu,lat,lon,region,district,ward,ea,urban,femhead,agehead,hhszae,educave15_60,area_gps,distprschool,credit,TLU_cattle,TLU_oxen,TLU_pigs,TLU_sheep,TLU_goats,TLU_chicken,TLU_donkeyhorses,TLU_otheranim,cellphone,safewater,landown,swc_any,fert_org_use,tot_exp,food_exp,mean_rain_lt,sd_rain_lt
2559,2008,3987.146973,1101011968,-7.940415382,35.06478119,Iringa,1,12,1101012002,0,0,36,3.4000001,7,3.261049747,0,0,0,0,0,0,0,0,0,0,0,1,0.646099925,0,0,1450.86,1148.1218,424.76703,73.916115
2564,2008,3739.557861,1101011968,-7.940415382,35.06478119,Iringa,1,12,1101012002,0,0,52,3,9,12.49999994,0,0,0,0,0,0,0,0.95999998,0,0,1,1,0,0,0,3338.6685,2008.1779,424.76703,73.916115
2164,2008,4768.029785,1302016000,-5.566601753,34.6680069,Singida,2,16,1302016004,0,1,40,6.6799998,3.5,2,0,0,0,0,0,0,0.60000002,0.14999999,0,0,0,1,3.642170429,1,1,1043.4669,854.03912,348.18524,70.177101
3171,2008,1414.916626,804004032,-9.595117569,37.40309525,Lindi,4,4,804004002,0,0,35,3.74,3.5,2.097147942,45,0,0,0,0,0,0,0.17,0,0,0,0,0.848685503,0,0,1423.1633,1004.1317,622.58826,95.873436
1884,2008,2540.798096,1501021952,-5.537715435,30.34238434,Rukwa,1,22,1501022005,0,0,42,3.54,5.5,2.346512645,0,0,0,0,0,0,0.30000001,0.01,0,0,0,0,0.949599862,1,0,902.60577,662.29553,529.04126,70.939796
1423,2008,2707.090332,1706014976,-3.201562643,34.09929276,Shinyanga,6,15,1706015002,0,0,34,4.3199997,9,12.49999994,0,1,0,0,0,0,0.80000001,0.089999996,0,0,1,1,0,0,0,4134.3608,1169.351,407.79663,84.353218
2714,2008,2870.332764,1002006976,-11.49701214,35.60762405,Ruvuma,2,7,1002007004,0,1,50,4.54,3.5,3,0,0,0,0,0,0,0,0.07,0,0,0,0,1.011713982,0,0,993.9491,830.50061,523.10077,88.80603
2406,2008,2598.7229,1201003008,-8.367728233,33.01678085,Mbeya,1,3,1201003002,0,0,37,3.9200001,5,1,0,0,0,0,0,0,0,0.12,0,0,0,0,0.302357078,0,0,1068.1232,854.76404,553.39856,119.95647
4867,2008,4482.834473,103013008,-6.177251816,36.47574997,Dodoma,3,13,103013004,0,1,32,3.9200001,7,2,0,0,0,0,0.2,0,0,0.089999996,0,0,0,0,1.618742466,0,0,1414.1067,1248.2728,297.33282,51.204807
2544,2008,3354.393066,1102009984,-8.550924301,34.83927536,Iringa,2,10,1102010004,0,1,86,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.809371173,0,0,405.15353,373.1911,401.52756,64.530319
1160,2008,1925.385864,1805006976,-2.829572201,30.460289,Kagera,5,7,1805007004,0,0,44,6.0999999,3.3333333,9.692955852,0,0,0,0,0,0,0.5,0.01,0,0,0,0,0.583964169,0,0,1736.4004,1082.7001,516.28375,69.535324
1456,2008,2553.747803,1704023040,-3.776602745,32.15613556,Shinyanga,4,23,1704023001,0,0,40,6.8800001,7.5,2,0,0,0,0,0,0,0.5,0.14999999,0,1.6,1,0,0,1,0,1097.4274,856.90057,436.88147,77.738823
1239,2008,1811.274292,1803005056,-1.639668584,31.7208004,Kagera,3,5,1803005002,0,1,50,3.1199999,7,3,0,1,0,0,0,0,0.1,0.02,0,0,0,0,0.505856991,0,0,1937.075,1825.522,794.15717,125.2956
4015,2008,2555.710693,701004160,-6.792107582,39.24647522,Dar es salaam,1,4,701004136,1,0,26,2.72,7,12.49999994,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3040.8752,2268.7395,646.61749,144.87674
4609,2008,2971.602051,301014016,-3.096664667,37.63920975,Kilimanjaro,1,14,301014002,0,0,42,6.02,7,0.926398098,0,0,0.5,0,0,0.2,0.30000001,0,0,0,0,1,0.374899954,1,1,482.68768,345.45551,540.77405,157.27818
2546,2008,3374.320557,1102009984,-8.550924301,34.83927536,Iringa,2,10,1102010004,0,0,42,6.1599998,7,2,2,0,2,0,0,0,0,0.07,0,0,0,1,2.023427963,1,1,1670.4482,1123.7327,401.52756,64.530319
3319,2008,115.2953186,703022976,-7.923658848,38.93045425,Dar es salaam,3,23,703023004,0,0,34,1,4,12.49999994,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2235.8203,1343.9187,748.22107,165.79358
2613,2008,2548.893555,1003036992,-10.56630707,34.61722946,Ruvuma,3,37,1003037001,0,1,50,4.3600001,6.6666665,6,0,0,0,0,0,0,0,0,0,0,0,0,1.335462451,0,0,774.64526,520.67212,613.87012,103.70172
1858,2008,1648.439575,1502018944,-7.657280922,31.57943916,Rukwa,2,19,1502019003,0,0,35,4.46,7.5,2,0,0,0,0,0,0,0,0.12,0,0,1,0,2.933970451,0,0,1182.4789,862.6571,436.64642,93.552666
